id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,128,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.615116,44.850132
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,64,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.615116,44.850132
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,132,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.615116,44.850132
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,18,,,,,,,,,,1,3,Dépendance,,0,,,,,,-0.615116,44.850132
2025-149082,2025-01-02,000001,Vente,455000,17,,RUE GAMBETTA,3815,33200,33063,Bordeaux,33,,,33063000NW0061,,,128,,,,,,,,,,1,2,Appartement,104,4,,,,,,-0.615116,44.850132
2025-149084,2025-01-07,000001,Vente,260000,53,,RUE LACORNEE,4975,33000,33063,Bordeaux,33,,,33063000HK0151,,,3,,,,,,,,,,1,2,Appartement,65,3,,,,,,-0.582161,44.833151
2025-149087,2025-01-06,000001,Vente,500000,54,,RUE POMME D OR,7400,33300,33063,Bordeaux,33,,,33063000RE0143,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,101,-0.569844,44.854211
2025-149087,2025-01-06,000001,Vente,500000,54,,RUE POMME D OR,7400,33300,33063,Bordeaux,33,,,33063000RE0143,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,101,-0.569844,44.854211
2025-149087,2025-01-06,000001,Vente,500000,54,,RUE POMME D OR,7400,33300,33063,Bordeaux,33,,,33063000RE0143,,,,,,,,,,,,,0,2,Appartement,68,3,S,sols,,,101,-0.569844,44.854211
2025-149087,2025-01-06,000001,Vente,500000,54,,RUE POMME D OR,7400,33300,33063,Bordeaux,33,,,33063000RE0143,,,,,,,,,,,,,0,2,Appartement,68,3,S,sols,,,101,-0.569844,44.854211
2025-149088,2025-01-06,000001,Vente,190000,140,,CRS DE LA MARNE,6065,33800,33063,Bordeaux,33,,,33063000DH0133,,,7,75.6,,,,,,,,,1,2,Appartement,65,3,,,,,,-0.564342,44.829171
2025-149090,2025-01-06,000001,Vente,145010,44,,RUE ARNAUD MIQUEU,0405,33000,33063,Bordeaux,33,,,33063000KI0106,,,4,30.95,,,,,,,,,1,2,Appartement,32,1,,,,,,-0.572976,44.838174
